File,Result
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/3,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/5, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/4,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/7, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:from-overlay, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:3/2,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/badhelpercall.o:.text, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/badmapptr.o:test,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/byteswap.o:.text, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/ctxoffset.o:sockops, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/exposeptr.o:.text,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/exposeptr2.o:.text,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/loop.o:test_md,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/map_in_map.o:.text,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/map_in_map_anonymous.o:.text,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/map_in_map_legacy.o:.text,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/map_in_map_typedef.o:.text,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/mapoverflow.o:.text,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/mapunderflow.o:.text,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/mapvalue-overrun.o:.text, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/nullmapref.o:test,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/packet_access.o:xdp, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/packet_overflow.o:xdp,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/packet_reallocate.o:socket_filter, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/packet_start_ok.o:xdp,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/prog_array.o:.text, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/ringbuf_uninit.o:.text, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/stackok.o:.text, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/tail_call.o:xdp_prog, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/tail_call.o:xdp_prog/0, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/tail_call_bad.o:xdp_prog, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/tail_call_bad.o:xdp_prog/0, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/twomaps.o:.text, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/twomaps_btf.o:.text, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/twostackvars.o:.text, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/twotypes.o:.text, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/build/wronghelper.o:xdp, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lb.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lb.o:from-netdev, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/3, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/5, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/4, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/10, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/7, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/6, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:from-container, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/12, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/11, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:1/0x1010, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/8, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/9, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_netdev.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_netdev.o:2/3, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_netdev.o:2/5, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_netdev.o:2/4, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_netdev.o:2/7, error: llvm dialect conversion failed
