File,Result,trivial,seahorn_time,total
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:2/6,0,0,BRUNCH_STAT seahorn_total 0.11,1.01user 0.20system 0:01.21elapsed 100%CPU (0avgtext+0avgdata 97416maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:from-container,0,0,BRUNCH_STAT seahorn_total 1.85,9.39user 0.52system 0:09.90elapsed 100%CPU (0avgtext+0avgdata 107080maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc-DUNKNOWN.o:1/0x1010,0,0,BRUNCH_STAT seahorn_total 1.03,6.75user 0.45system 0:07.20elapsed 100%CPU (0avgtext+0avgdata 105052maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.03,0.55user 0.16system 0:00.72elapsed 100%CPU (0avgtext+0avgdata 92408maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:2/3,1,0,BRUNCH_STAT seahorn_total 0.06,0.92user 0.18system 0:01.10elapsed 100%CPU (0avgtext+0avgdata 93352maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:2/5,1,0,BRUNCH_STAT seahorn_total 0.09,1.25user 0.15system 0:01.40elapsed 100%CPU (0avgtext+0avgdata 93288maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:2/4,1,0,BRUNCH_STAT seahorn_total 0.09,1.14user 0.18system 0:01.32elapsed 100%CPU (0avgtext+0avgdata 93460maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:2/10,error: to llvm dialect conversion failed,,,0.32user 0.20system 0:00.52elapsed 100%CPU (0avgtext+0avgdata 72104maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:2/7,error: to llvm dialect conversion failed,,,0.30user 0.21system 0:00.51elapsed 100%CPU (0avgtext+0avgdata 69280maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:2/6,0,0,BRUNCH_STAT seahorn_total 0.11,1.04user 0.22system 0:01.26elapsed 100%CPU (0avgtext+0avgdata 97964maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:from-container,1,0,BRUNCH_STAT seahorn_total 0.04,0.60user 0.14system 0:00.74elapsed 100%CPU (0avgtext+0avgdata 91884maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_lxc_jit.o:1/0xdc06,error: to llvm dialect conversion failed,,,0.23user 0.14system 0:00.37elapsed 100%CPU (0avgtext+0avgdata 65936maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_netdev.o:2/2,1,0,BRUNCH_STAT seahorn_total 0.04,0.54user 0.14system 0:00.68elapsed 100%CPU (0avgtext+0avgdata 92556maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_netdev.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.04,0.52user 0.15system 0:00.68elapsed 100%CPU (0avgtext+0avgdata 91596maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_netdev.o:2/3,1,0,BRUNCH_STAT seahorn_total 0.06,0.87user 0.15system 0:01.02elapsed 100%CPU (0avgtext+0avgdata 92800maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_netdev.o:2/5,1,0,BRUNCH_STAT seahorn_total 0.16,1.62user 0.19system 0:01.80elapsed 100%CPU (0avgtext+0avgdata 94168maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_netdev.o:2/4,1,0,BRUNCH_STAT seahorn_total 0.08,1.07user 0.18system 0:01.25elapsed 100%CPU (0avgtext+0avgdata 92376maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_netdev.o:2/7,0,0,BRUNCH_STAT seahorn_total 1.12,6.35user 0.44system 0:06.79elapsed 100%CPU (0avgtext+0avgdata 105120maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_netdev.o:from-netdev,0,0,BRUNCH_STAT seahorn_total 1.52,7.80user 0.48system 0:08.28elapsed 100%CPU (0avgtext+0avgdata 104728maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_netdev.o:3/2,1,0,BRUNCH_STAT seahorn_total 0.04,0.46user 0.18system 0:00.64elapsed 100%CPU (0avgtext+0avgdata 91576maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/2,1,0,BRUNCH_STAT seahorn_total 0.04,0.53user 0.15system 0:00.69elapsed 100%CPU (0avgtext+0avgdata 92544maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.05,0.54user 0.13system 0:00.68elapsed 100%CPU (0avgtext+0avgdata 92700maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/3,1,0,BRUNCH_STAT seahorn_total 0.06,0.85user 0.17system 0:01.02elapsed 100%CPU (0avgtext+0avgdata 92832maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/5,1,0,BRUNCH_STAT seahorn_total 0.15,1.61user 0.19system 0:01.80elapsed 100%CPU (0avgtext+0avgdata 94484maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/4,1,0,BRUNCH_STAT seahorn_total 0.08,1.05user 0.20system 0:01.25elapsed 100%CPU (0avgtext+0avgdata 92840maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/7,0,0,BRUNCH_STAT seahorn_total 0.95,5.49user 0.42system 0:05.90elapsed 100%CPU (0avgtext+0avgdata 103716maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:from-overlay,1,0,BRUNCH_STAT seahorn_total 1.07,6.91user 0.30system 0:07.23elapsed 99%CPU (0avgtext+0avgdata 100828maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/bpf_cilium_test/bpf_overlay.o:3/2,1,0,BRUNCH_STAT seahorn_total 0.04,0.47user 0.16system 0:00.64elapsed 100%CPU (0avgtext+0avgdata 91696maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/badhelpercall.o:.text,1,1,BRUNCH_STAT seahorn_total 0.01,0.37user 0.12system 0:00.49elapsed 100%CPU (0avgtext+0avgdata 89072maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/badmapptr.o:test,1,0,BRUNCH_STAT seahorn_total 0.03,0.42user 0.14system 0:00.55elapsed 100%CPU (0avgtext+0avgdata 91480maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/byteswap.o:.text,error: translation failed,,,0.11user 0.03system 0:00.26elapsed 58%CPU (0avgtext+0avgdata 90048maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/ctxoffset.o:sockops,1,0,BRUNCH_STAT seahorn_total 0.04,0.41user 0.14system 0:00.55elapsed 100%CPU (0avgtext+0avgdata 90440maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/exposeptr2.o:.text,1,0,BRUNCH_STAT seahorn_total 0.03,0.40user 0.16system 0:00.56elapsed 100%CPU (0avgtext+0avgdata 91568maxresident)k
