File,Result,Cpu,Mem
/home/jetafese/cilium/bpf/bpf_lxc.o:tc:cil_to_container,1,0.044746,7780
/home/jetafese/cilium/bpf/bpf_lxc.o:2/12:tail_ipv6_policy,
/home/jetafese/cilium/bpf/bpf_lxc.o:2/14:tail_ipv6_to_endpoint,1,2.66207,19216
/home/jetafese/cilium/bpf/bpf_lxc.o:2/31:tail_ipv6_ct_ingress_policy_only,1,0.627042,21004
/home/jetafese/cilium/bpf/bpf_lxc.o:2/30:tail_ipv6_ct_ingress,1,0.617157,20936
/home/jetafese/cilium/bpf/bpf_lxc.o:2/11:tail_ipv4_policy,
/home/jetafese/cilium/bpf/bpf_lxc.o:2/13:tail_ipv4_to_endpoint,0,2.78851,27700
/home/jetafese/cilium/bpf/bpf_lxc.o:2/28:tail_ipv4_ct_ingress_policy_only,1,0.878328,26808
/home/jetafese/cilium/bpf/bpf_lxc.o:2/27:tail_ipv4_ct_ingress,1,0.872289,26736
/home/jetafese/cilium/bpf/bpf_overlay.o:.text:__mcast_ep_delivery,0,0.010163,6264
/home/jetafese/cilium/bpf/bpf_overlay.o:2/1:__send_drop_notify,1,0.018553,6316
/home/jetafese/cilium/bpf/bpf_overlay.o:2/49:tail_mcast_ep_delivery,
/home/jetafese/cilium/bpf/bpf_overlay.o:2/5:tail_icmp6_send_time_exceeded,1,1.78333,17376
/home/jetafese/cilium/bpf/bpf_overlay.o:2/21:tail_nodeport_ipv6_dsr,1,0.854373,21680
/home/jetafese/cilium/bpf/bpf_overlay.o:2/18:tail_nodeport_rev_dnat_ingress_ipv6,1,0.870774,32264
/home/jetafese/cilium/bpf/bpf_overlay.o:2/37:tail_nodeport_nat_ingress_ipv6,0,1.12167,34948
/home/jetafese/cilium/bpf/bpf_overlay.o:2/16:tail_nodeport_nat_egress_ipv6,0,13.0375,318544
/home/jetafese/cilium/bpf/bpf_overlay.o:2/39:tail_handle_snat_fwd_ipv6,0,2.33803,81428
/home/jetafese/cilium/bpf/bpf_overlay.o:2/24:tail_handle_nat_fwd_ipv6,1,0.364191,18936
/home/jetafese/cilium/bpf/bpf_overlay.o:2/20:tail_nodeport_ipv4_dsr,1,0.530443,15540
/home/jetafese/cilium/bpf/bpf_overlay.o:2/17:tail_nodeport_rev_dnat_ingress_ipv4,1,1.15987,36848
/home/jetafese/cilium/bpf/bpf_overlay.o:2/36:tail_nodeport_nat_ingress_ipv4,0,0.259079,17252
/home/jetafese/cilium/bpf/bpf_overlay.o:2/15:tail_nodeport_nat_egress_ipv4,0,7.82514,275264
/home/jetafese/cilium/bpf/bpf_overlay.o:2/38:tail_handle_snat_fwd_ipv4,0,9.55895,81088
/home/jetafese/cilium/bpf/bpf_overlay.o:2/19:tail_handle_nat_fwd_ipv4,1,0.454686,24828
/home/jetafese/cilium/bpf/bpf_overlay.o:2/10:tail_handle_ipv6,1,3.56484,51524
/home/jetafese/cilium/bpf/bpf_overlay.o:2/7:tail_handle_ipv4,1,6.81685,39856
/home/jetafese/cilium/bpf/bpf_overlay.o:2/6:tail_handle_arp,1,0.35276,13156
/home/jetafese/cilium/bpf/bpf_overlay.o:tc:cil_from_overlay,1,0.033914,7380
/home/jetafese/cilium/bpf/bpf_overlay.o:tc:cil_to_overlay,0,0.008192,6312
/home/jetafese/cilium/bpf/bpf_sock.1.o:cgroup/connect4:cil_sock4_connect,1,0.378625,14148
/home/jetafese/cilium/bpf/bpf_sock.1.o:cgroup/post_bind4:cil_sock4_post_bind,1,0.047321,7200
/home/jetafese/cilium/bpf/bpf_sock.1.o:cgroup/sendmsg4:cil_sock4_sendmsg,1,0.400505,13844
/home/jetafese/cilium/bpf/bpf_sock.1.o:cgroup/recvmsg4:cil_sock4_recvmsg,1,0.157255,11332
/home/jetafese/cilium/bpf/bpf_sock.1.o:cgroup/post_bind6:cil_sock6_post_bind,1,0.160631,8872
/home/jetafese/cilium/bpf/bpf_sock.1.o:cgroup/connect6:cil_sock6_connect,1,1.8039,26972
/home/jetafese/cilium/bpf/bpf_sock.1.o:cgroup/sendmsg6:cil_sock6_sendmsg,1,1.89259,26592
/home/jetafese/cilium/bpf/bpf_sock.1.o:cgroup/recvmsg6:cil_sock6_recvmsg,0,0.601587,20260
/home/jetafese/cilium/bpf/bpf_sock.2.o:cgroup/connect4:cil_sock4_connect,1,0.37789,14140
/home/jetafese/cilium/bpf/bpf_sock.2.o:cgroup/post_bind4:cil_sock4_post_bind,1,0.046601,7220
/home/jetafese/cilium/bpf/bpf_sock.2.o:cgroup/sendmsg4:cil_sock4_sendmsg,1,0.401469,13820
/home/jetafese/cilium/bpf/bpf_sock.2.o:cgroup/recvmsg4:cil_sock4_recvmsg,1,0.157662,11352
/home/jetafese/cilium/bpf/bpf_sock.2.o:cgroup/post_bind6:cil_sock6_post_bind,1,0.163115,8972
/home/jetafese/cilium/bpf/bpf_sock.2.o:cgroup/connect6:cil_sock6_connect,1,1.79929,26996
/home/jetafese/cilium/bpf/bpf_sock.2.o:cgroup/sendmsg6:cil_sock6_sendmsg,1,1.84987,26572
/home/jetafese/cilium/bpf/bpf_sock.2.o:cgroup/recvmsg6:cil_sock6_recvmsg,0,0.597756,20240
/home/jetafese/cilium/bpf/bpf_sock.o:cgroup/connect4:cil_sock4_connect,1,0.376538,14160
/home/jetafese/cilium/bpf/bpf_sock.o:cgroup/post_bind4:cil_sock4_post_bind,1,0.046816,7124
/home/jetafese/cilium/bpf/bpf_sock.o:cgroup/sendmsg4:cil_sock4_sendmsg,1,0.398738,15588
/home/jetafese/cilium/bpf/bpf_sock.o:cgroup/recvmsg4:cil_sock4_recvmsg,1,0.156042,11328
/home/jetafese/cilium/bpf/bpf_sock.o:cgroup/post_bind6:cil_sock6_post_bind,1,0.161288,8932
/home/jetafese/cilium/bpf/bpf_sock.o:cgroup/connect6:cil_sock6_connect,1,1.80416,27096
/home/jetafese/cilium/bpf/bpf_sock.o:cgroup/sendmsg6:cil_sock6_sendmsg,1,1.88731,26556
/home/jetafese/cilium/bpf/bpf_sock.o:cgroup/recvmsg6:cil_sock6_recvmsg,0,0.602602,20268
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/1:__send_drop_notify,1,0.018482,6340
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/5:tail_icmp6_send_time_exceeded,1,1.78793,17644
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/4:tail_icmp6_handle_ns,1,0.28731,19432
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/33:tail_srv6_encap,1,0.103323,8728
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/34:tail_srv6_decap,1,0.05179,7276
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/21:tail_nodeport_ipv6_dsr,1,0.851879,21800
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/18:tail_nodeport_rev_dnat_ingress_ipv6,1,0.870506,32228
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/37:tail_nodeport_nat_ingress_ipv6,0,1.12055,34912
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/16:tail_nodeport_nat_egress_ipv6,0,13.0656,318600
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/39:tail_handle_snat_fwd_ipv6,1,0.065021,9356
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/24:tail_handle_nat_fwd_ipv6,1,0.365266,19116
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/20:tail_nodeport_ipv4_dsr,1,0.525686,15488
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/17:tail_nodeport_rev_dnat_ingress_ipv4,0,0.895602,33652
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/36:tail_nodeport_nat_ingress_ipv4,0,0.2608,16804
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/15:tail_nodeport_nat_egress_ipv4,0,7.68485,205844
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/38:tail_handle_snat_fwd_ipv4,1,0.020751,6216
/home/jetafese/cilium/bpf/bpf_wireguard.o:2/19:tail_handle_nat_fwd_ipv4,1,0.455839,25056
/home/jetafese/cilium/bpf/bpf_wireguard.o:tc:cil_to_wireguard,1,0.01729,6316
