File,Result,trivial,seahorn_time,total
/home/jetafese/cilium/bpf/bpf_host.o:2/1:__send_drop_notify,1,0,BRUNCH_STAT seahorn_total 0.06,0.65user 0.19system 0:00.84elapsed 100%CPU (0avgtext+0avgdata 93072maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/5:tail_icmp6_send_time_exceeded,1,0,BRUNCH_STAT seahorn_total 0.22,1.96user 0.20system 0:02.16elapsed 100%CPU (0avgtext+0avgdata 104492maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/4:tail_icmp6_handle_ns,1,0,BRUNCH_STAT seahorn_total 0.14,1.45user 0.19system 0:01.65elapsed 100%CPU (0avgtext+0avgdata 99372maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/33:tail_srv6_encap,0,0,BRUNCH_STAT seahorn_total 0.21,1.37user 0.26system 0:01.63elapsed 100%CPU (0avgtext+0avgdata 98560maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/34:tail_srv6_decap,1,0,BRUNCH_STAT seahorn_total 0.13,1.27user 0.23system 0:01.49elapsed 100%CPU (0avgtext+0avgdata 98636maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/21:tail_nodeport_ipv6_dsr,0,0,BRUNCH_STAT seahorn_total 0.59,3.26user 0.36system 0:03.62elapsed 100%CPU (0avgtext+0avgdata 100460maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/18:tail_nodeport_rev_dnat_ingress_ipv6,1,0,BRUNCH_STAT seahorn_total 0.69,3.95user 0.25system 0:04.21elapsed 100%CPU (0avgtext+0avgdata 158520maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/37:tail_nodeport_nat_ingress_ipv6,error: to llvm dialect conversion failed,,,0.22user 0.12system 0:00.34elapsed 100%CPU (0avgtext+0avgdata 65760maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/16:tail_nodeport_nat_egress_ipv6,1,0,BRUNCH_STAT seahorn_total 2.98,12.28user 0.47system 0:12.74elapsed 100%CPU (0avgtext+0avgdata 235708maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/39:tail_handle_snat_fwd_ipv6,0,0,BRUNCH_STAT seahorn_total 2.47,12.94user 0.80system 0:13.74elapsed 100%CPU (0avgtext+0avgdata 118480maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/24:tail_handle_nat_fwd_ipv6,1,0,BRUNCH_STAT seahorn_total 0.85,4.39user 0.28system 0:04.67elapsed 100%CPU (0avgtext+0avgdata 161940maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/20:tail_nodeport_ipv4_dsr,0,0,BRUNCH_STAT seahorn_total 0.19,1.81user 0.26system 0:02.06elapsed 100%CPU (0avgtext+0avgdata 98388maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/17:tail_nodeport_rev_dnat_ingress_ipv4,0,0,BRUNCH_STAT seahorn_total 1.18,5.17user 0.43system 0:05.60elapsed 100%CPU (0avgtext+0avgdata 103300maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/36:tail_nodeport_nat_ingress_ipv4,0,0,BRUNCH_STAT seahorn_total 3.17,11.03user 0.69system 0:11.73elapsed 100%CPU (0avgtext+0avgdata 118348maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/15:tail_nodeport_nat_egress_ipv4,1,0,BRUNCH_STAT seahorn_total 1.25,8.76user 0.40system 0:09.16elapsed 100%CPU (0avgtext+0avgdata 185496maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/38:tail_handle_snat_fwd_ipv4,0,0,BRUNCH_STAT seahorn_total 3.22,15.28user 1.00system 0:16.27elapsed 100%CPU (0avgtext+0avgdata 120900maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/19:tail_handle_nat_fwd_ipv4,1,0,BRUNCH_STAT seahorn_total 0.97,4.70user 0.29system 0:04.99elapsed 100%CPU (0avgtext+0avgdata 134468maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/45:tail_handle_ipv6_cont_from_host,error: to llvm dialect conversion failed,,,0.16user 0.09system 0:00.26elapsed 100%CPU (0avgtext+0avgdata 62164maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/46:tail_handle_ipv6_cont_from_netdev,0,0,BRUNCH_STAT seahorn_total 1.20,5.13user 0.42system 0:05.54elapsed 100%CPU (0avgtext+0avgdata 107520maxresident)k
/home/jetafese/cilium/bpf/bpf_host.o:2/23:tail_handle_ipv6_from_host,0,0,BRUNCH_STAT seahorn_total 0.68,4.01user 0.32system 0:04.33elapsed 100%CPU (0avgtext+0avgdata 101516maxresident)k
