File,Result,Cpu,Mem
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_netdev.o:2/7,1,1.11747,37820
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_netdev.o:from-netdev,unmarshaling error at 663: bad instruction op 0x30,,
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_netdev.o:3/2,1,0.006465,5348
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/2,1,0.009345,5244
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/1,1,0.007515,5120
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/3,1,0.052794,9180
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/5,1,1.33738,17052
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/4,1,0.110706,12436
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_overlay.o:2/7,1,0.650595,31988
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_overlay.o:from-overlay,unmarshaling error at 239: bad instruction op 0x30,,
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/bpf_cilium_test/bpf_overlay.o:3/2,1,0.006196,5336
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/badhelpercall.o:.text,0,0.00058,4408
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/badmapptr.o:test,0,0.000844,4440
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/byteswap.o:.text,1,0.003497,5164
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/ctxoffset.o:sockops,0,0.001608,5224
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/exposeptr2.o:.text,0,0.002006,4408
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/exposeptr.o:.text,0,0.002352,4156
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/loop.o:test_md,0,0.020983,5588
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/map_in_map_anonymous.o:.text,1,0.003582,5212
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/map_in_map_legacy.o:.text,1,0.003485,5172
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/map_in_map.o:.text,1,0.004118,5336
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/map_in_map_typedef.o:.text,1,0.006697,5452
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/mapoverflow.o:.text,1,0.001936,4464
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/mapunderflow.o:.text,1,0.00201,4400
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/mapvalue-overrun.o:.text,0,0.00198,4480
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/nullmapref.o:test,0,0.001822,5080
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/packet_access.o:xdp,1,0.00408,5372
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/packet_overflow.o:xdp,0,0.000973,4300
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/packet_reallocate.o:socket_filter,0,0.001619,4344
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/packet_start_ok.o:xdp,1,0.001117,5172
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/prog_array.o:.text,1,0.000282,4452
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/ringbuf_uninit.o:.text,0,0.000751,4448
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/stackok.o:.text,1,0.107454,5696
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/tail_call_bad.o:xdp_prog,0,0.000349,4580
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/tail_call_bad.o:xdp_prog/0,1,0.000156,4252
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/tail_call.o:xdp_prog,1,0.000385,4332
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/tail_call.o:xdp_prog/0,1,0.000188,4400
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/twomaps_btf.o:.text,1,0.003989,5360
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/twomaps.o:.text,1,0.00369,5252
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/twostackvars.o:.text,1,0.032901,5352
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/twotypes.o:.text,1,0.005191,5536
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/build/wronghelper.o:xdp,unmarshaling error at 7: invalid helper function id 53,,
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lb.o:2/1,1,0.014233,5356
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lb.o:from-netdev,1,0.08576,8984
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lxc.o:2/1,1,0.014099,4956
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lxc.o:2/3,1,0.093152,9416
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lxc.o:2/5,1,1.71233,17308
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lxc.o:2/4,1,0.135655,12124
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lxc.o:2/10,unmarshaling error at 22: bad instruction op 0x30,,
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lxc.o:2/7,1,13.6602,139644
/home/hamza/Desktop/ebpf-project/ebpf-verifier/ebpf-samples/cilium/bpf_lxc.o:2/6,1,0.05007,7260
